iter	Passed	Remaining
0	59	59769
1	62	31201
2	63	21083
3	64	16038
4	65	12984
5	66	10950
6	67	9505
7	67	8379
8	68	7548
9	69	6864
10	70	6352
11	71	5881
12	72	5481
13	72	5139
14	75	4975
15	76	4714
16	77	4478
17	78	4264
18	78	4071
19	79	3901
20	80	3752
21	81	3612
22	81	3478
23	82	3366
24	83	3263
25	84	3163
26	85	3073
27	86	2990
28	86	2909
29	87	2832
30	89	2796
31	90	2732
32	91	2667
33	91	2606
34	93	2569
35	93	2515
36	94	2463
37	95	2421
38	96	2376
39	97	2335
40	98	2296
41	99	2258
42	99	2220
43	100	2183
44	101	2148
45	102	2115
46	104	2113
47	105	2085
48	105	2056
49	106	2028
50	107	2003
51	108	1977
52	109	1950
53	109	1926
54	110	1902
55	111	1879
56	112	1856
57	113	1835
58	113	1815
59	114	1793
60	115	1773
61	116	1754
62	116	1736
63	118	1733
64	119	1717
65	120	1700
66	120	1684
67	121	1668
68	122	1653
69	123	1637
70	124	1623
71	124	1608
72	125	1596
73	126	1584
74	127	1570
75	128	1557
76	128	1545
77	129	1534
78	130	1521
79	131	1509
80	133	1516
81	134	1506
82	135	1496
83	136	1485
84	136	1474
85	137	1463
86	138	1453
87	139	1442
88	139	1432
89	140	1422
90	141	1412
91	142	1403
92	142	1393
93	143	1384
94	144	1375
95	145	1366
96	145	1357
97	146	1350
98	147	1344
99	148	1337
100	149	1328
101	150	1321
102	150	1313
103	151	1305
104	152	1297
105	153	1291
106	153	1283
107	154	1276
108	155	1270
109	156	1265
110	157	1259
111	158	1252
112	158	1246
113	159	1240
114	163	1255
115	163	1249
116	165	1247
117	166	1241
118	168	1248
119	169	1243
120	171	1244
121	171	1237
122	172	1232
123	173	1226
124	177	1245
125	178	1239
126	179	1234
127	180	1229
128	182	1232
129	183	1226
130	184	1221
131	185	1216
132	185	1210
133	186	1205
134	187	1199
135	187	1192
136	188	1188
137	190	1188
138	191	1184
139	192	1180
140	193	1176
141	193	1171
142	194	1167
143	195	1161
144	196	1157
145	197	1152
146	197	1148
147	198	1143
148	199	1139
149	200	1134
150	200	1129
151	203	1135
152	204	1133
153	205	1129
154	206	1126
155	207	1123
156	208	1119
157	209	1115
158	210	1111
159	210	1107
160	211	1104
161	212	1101
162	214	1100
163	215	1096
164	217	1101
165	218	1097
166	219	1093
167	219	1089
168	220	1085
169	221	1081
170	222	1077
171	223	1073
172	223	1070
173	224	1066
174	225	1062
175	226	1058
176	226	1055
177	227	1051
178	228	1048
179	229	1044
180	229	1040
181	231	1041
182	232	1039
183	233	1036
184	234	1033
185	235	1030
186	236	1026
187	236	1022
188	237	1019
189	238	1015
190	238	1012
191	239	1008
192	240	1005
193	241	1001
194	241	998
195	242	995
196	243	991
197	244	988
198	244	985
199	246	986
200	247	984
201	248	982
202	249	979
203	250	976
204	250	973
205	251	970
206	252	966
207	253	963
208	253	960
209	254	957
210	255	954
211	256	951
212	256	948
213	257	946
214	258	943
215	259	940
216	261	943
217	262	940
218	262	937
219	263	934
220	264	932
221	265	930
222	266	927
223	267	925
224	267	922
225	268	919
226	269	916
227	269	914
228	270	911
229	271	908
230	272	906
231	272	903
232	273	901
233	274	898
234	276	899
235	277	897
236	278	895
237	278	893
238	279	890
239	280	888
240	281	886
241	282	883
242	282	881
243	283	878
244	284	876
245	285	874
246	286	872
247	286	869
248	287	867
249	288	864
250	289	862
251	291	865
252	292	863
253	293	861
254	294	858
255	294	857
256	295	854
257	296	852
258	297	850
259	297	848
260	298	845
261	299	843
262	300	841
263	300	838
264	301	836
265	302	834
266	303	831
267	303	829
268	304	827
269	305	826
270	306	824
271	307	822
272	307	820
273	308	817
274	309	816
275	310	814
276	311	811
277	311	809
278	312	807
279	313	806
280	314	804
281	315	802
282	315	800
283	316	798
284	317	796
285	319	798
286	320	796
287	321	794
288	322	792
289	322	790
290	323	787
291	324	785
292	324	783
293	325	782
294	326	780
295	327	778
296	327	776
297	328	774
298	329	772
299	329	769
300	330	767
301	331	765
302	331	763
303	332	761
304	333	760
305	334	759
306	335	757
307	336	755
308	337	754
309	337	752
310	338	750
311	339	747
312	340	746
313	341	745
314	342	744
315	343	742
316	343	740
317	344	738
318	345	737
319	346	735
320	346	733
321	347	732
322	352	738
323	352	736
324	353	734
325	354	733
326	356	733
327	357	732
328	358	730
329	358	728
330	359	726
331	360	725
332	361	723
333	361	721
334	363	721
335	364	720
336	365	720
337	367	719
338	368	718
339	369	716
340	370	715
341	370	713
342	372	712
343	373	711
344	374	710
345	374	708
346	375	706
347	376	704
348	377	704
349	379	704
350	380	703
351	381	702
352	382	700
353	383	699
354	383	697
355	384	696
356	385	694
357	386	692
358	387	691
359	388	690
360	388	688
361	389	686
362	390	684
363	390	683
364	391	681
365	393	682
366	394	681
367	395	679
368	396	677
369	397	676
370	397	674
371	398	672
372	399	671
373	400	669
374	400	668
375	401	666
376	402	665
377	403	663
378	404	662
379	404	660
380	405	659
381	406	657
382	408	658
383	409	657
384	410	655
385	411	654
386	411	652
387	412	650
388	413	649
389	414	647
390	414	646
391	416	645
392	416	643
393	417	642
394	418	640
395	419	639
396	419	637
397	420	635
398	421	635
399	422	633
400	423	632
401	424	631
402	425	630
403	426	628
404	426	626
405	427	625
406	428	624
407	429	623
408	430	621
409	431	620
410	431	618
411	432	617
412	433	615
413	433	614
414	436	614
415	437	613
416	438	612
417	438	611
418	439	609
419	440	608
420	440	606
421	441	604
422	442	604
423	443	602
424	444	601
425	445	600
426	446	598
427	446	596
428	447	595
429	448	593
430	450	594
431	451	593
432	453	593
433	454	592
434	454	590
435	455	589
436	456	587
437	457	586
438	458	585
439	458	584
440	459	582
441	460	581
442	461	579
443	461	578
444	462	576
445	463	575
446	464	574
447	465	574
448	466	572
449	467	571
450	468	570
451	469	568
452	469	567
453	470	566
454	471	564
455	472	563
456	473	562
457	473	560
458	474	559
459	475	558
460	476	556
461	476	555
462	477	554
463	478	552
464	479	551
465	481	551
466	482	550
467	482	548
468	483	547
469	484	545
470	485	544
471	485	543
472	486	541
473	486	540
474	487	538
475	488	537
476	489	536
477	489	535
478	490	533
479	491	532
480	492	531
481	492	529
482	493	528
483	495	527
484	496	526
485	496	525
486	497	524
487	498	523
488	499	522
489	500	520
490	500	519
491	501	518
492	502	516
493	503	515
494	503	514
495	505	513
496	506	512
497	507	511
498	508	510
499	509	509
500	510	508
501	511	507
502	512	506
503	513	505
504	514	504
505	514	502
506	515	501
507	516	500
508	517	499
509	519	498
510	521	498
511	521	497
512	522	496
513	523	494
514	523	493
515	527	495
516	529	494
517	529	493
518	530	491
519	531	490
520	532	489
521	532	488
522	534	487
523	534	485
524	535	484
525	536	483
526	536	481
527	537	480
528	538	479
529	539	478
530	540	477
531	541	476
532	542	475
533	543	474
534	543	472
535	544	471
536	545	470
537	546	468
538	546	467
539	547	466
540	548	465
541	549	464
542	549	462
543	550	461
544	551	460
545	551	458
546	552	457
547	554	457
548	554	455
549	555	454
550	556	453
551	557	452
552	557	450
553	558	449
554	558	448
555	559	446
556	560	445
557	561	444
558	561	443
559	562	441
560	563	440
561	563	439
562	564	438
563	565	436
564	565	435
565	566	434
566	567	433
567	568	432
568	570	431
569	571	430
570	572	429
571	572	428
572	573	427
573	574	426
574	574	424
575	575	423
576	576	422
577	576	421
578	578	420
579	578	419
580	579	417
581	580	416
582	580	415
583	581	414
584	581	412
585	582	411
586	583	410
587	585	410
588	586	409
589	587	408
590	587	406
591	588	405
592	589	404
593	589	403
594	590	401
595	591	400
596	592	399
597	593	398
598	593	397
599	594	396
600	595	395
601	596	394
602	596	392
603	597	391
604	597	390
605	598	389
606	599	388
607	600	387
608	601	386
609	602	385
610	602	383
611	603	382
612	604	381
613	604	380
614	605	379
615	606	378
616	607	376
617	607	375
618	608	374
619	609	373
620	609	372
621	610	370
622	612	370
623	613	369
624	614	368
625	615	367
626	616	366
627	616	365
628	617	364
629	618	363
630	618	361
631	619	360
632	620	359
633	621	358
634	621	357
635	622	356
636	623	355
637	623	353
638	624	352
639	627	352
640	628	351
641	629	350
642	630	349
643	630	348
644	631	347
645	632	346
646	632	345
647	633	344
648	634	343
649	635	342
650	636	340
651	636	339
652	637	338
653	638	337
654	638	336
655	640	335
656	641	335
657	642	334
658	643	333
659	644	331
660	644	330
661	645	329
662	646	328
663	646	327
